"date","state","fips","cases","deaths","new_cases","new_deaths","days_since_death10","days_since_case100"
2020-03-13,"Alabama",1,6,0,6,0,0,0
2020-03-14,"Alabama",1,12,0,6,0,0,0
2020-03-15,"Alabama",1,23,0,11,0,0,0
2020-03-16,"Alabama",1,29,0,6,0,0,0
2020-03-17,"Alabama",1,39,0,10,0,0,0
2020-03-18,"Alabama",1,51,0,12,0,0,0
2020-03-19,"Alabama",1,78,0,27,0,0,0
2020-03-20,"Alabama",1,106,0,28,0,0,0
2020-03-21,"Alabama",1,131,0,25,0,0,1
2020-03-22,"Alabama",1,157,0,26,0,0,2
2020-03-23,"Alabama",1,196,0,39,0,0,3
2020-03-24,"Alabama",1,242,0,46,0,0,4
2020-03-25,"Alabama",1,386,1,144,1,0,5
2020-03-26,"Alabama",1,538,3,152,2,0,6
2020-03-27,"Alabama",1,639,4,101,1,0,7
2020-03-28,"Alabama",1,720,4,81,0,0,8
2020-03-29,"Alabama",1,830,5,110,1,0,9
2020-03-30,"Alabama",1,947,11,117,6,0,10
2020-03-31,"Alabama",1,999,14,52,3,1,11
2020-04-01,"Alabama",1,1108,28,109,14,2,12
2020-04-02,"Alabama",1,1270,32,162,4,3,13
2020-04-03,"Alabama",1,1535,38,265,6,4,14
2020-04-04,"Alabama",1,1632,44,97,6,5,15
2020-04-05,"Alabama",1,1840,45,208,1,6,16
2020-04-06,"Alabama",1,2005,53,165,8,7,17
2020-04-07,"Alabama",1,2197,64,192,11,8,18
2020-04-08,"Alabama",1,2498,67,301,3,9,19
2020-04-09,"Alabama",1,2838,78,340,11,10,20
2020-04-10,"Alabama",1,3008,80,170,2,11,21
2020-04-11,"Alabama",1,3262,93,254,13,12,22
2020-04-12,"Alabama",1,3583,93,321,0,13,23
2020-04-13,"Alabama",1,3805,104,222,11,14,24
2020-04-14,"Alabama",1,3953,114,148,10,15,25
2020-04-15,"Alabama",1,4241,123,288,9,16,26
2020-04-16,"Alabama",1,4404,137,163,14,17,27
2020-04-17,"Alabama",1,4572,151,168,14,18,28
2020-04-18,"Alabama",1,4723,147,151,0,19,29
2020-04-19,"Alabama",1,4903,160,180,13,20,30
2020-04-20,"Alabama",1,5078,164,175,4,21,31
2020-04-21,"Alabama",1,5327,186,249,22,22,32
2020-04-22,"Alabama",1,5610,201,283,15,23,33
2020-04-23,"Alabama",1,5832,197,222,0,24,34
2020-04-24,"Alabama",1,6026,209,194,12,25,35
2020-04-25,"Alabama",1,6213,213,187,4,26,36
2020-04-26,"Alabama",1,6421,219,208,6,27,37
2020-04-27,"Alabama",1,6539,228,118,9,28,38
2020-04-28,"Alabama",1,6750,242,211,14,29,39
2020-04-29,"Alabama",1,6925,262,175,20,30,40
2020-04-30,"Alabama",1,7068,272,143,10,31,41
2020-05-01,"Alabama",1,7294,289,226,17,32,42
2020-05-02,"Alabama",1,7611,288,317,0,33,43
2020-05-03,"Alabama",1,7888,290,277,2,34,44
2020-05-04,"Alabama",1,8112,298,224,8,35,45
2020-05-05,"Alabama",1,8437,315,325,17,36,46
2020-05-06,"Alabama",1,8691,343,254,28,37,47
2020-05-07,"Alabama",1,9046,369,355,26,38,48
2020-05-08,"Alabama",1,9385,383,339,14,39,49
2020-05-09,"Alabama",1,9668,390,283,7,40,50
2020-05-10,"Alabama",1,9889,393,221,3,41,51
2020-05-11,"Alabama",1,10164,403,275,10,42,52
2020-05-12,"Alabama",1,10464,435,300,32,43,53
2020-05-13,"Alabama",1,10700,450,236,15,44,54
2020-05-14,"Alabama",1,11101,473,401,23,45,55
2020-05-15,"Alabama",1,11373,483,272,10,46,56
2020-05-16,"Alabama",1,11674,485,301,2,47,57
2020-05-17,"Alabama",1,11771,488,97,3,48,58
2020-05-18,"Alabama",1,12086,489,315,1,49,59
2020-05-19,"Alabama",1,12376,504,290,15,50,60
2020-05-20,"Alabama",1,13052,522,676,18,51,61
2020-05-21,"Alabama",1,13414,529,362,7,52,62
2020-05-22,"Alabama",1,13670,541,256,12,53,63
2020-05-23,"Alabama",1,14149,549,479,8,54,64
2020-05-24,"Alabama",1,14478,551,329,2,55,65
2020-05-25,"Alabama",1,14986,566,508,15,56,66
2020-05-26,"Alabama",1,15650,580,664,14,57,67
2020-05-27,"Alabama",1,16032,583,382,3,58,68
2020-05-28,"Alabama",1,16530,591,498,8,59,69
2020-05-29,"Alabama",1,17031,610,501,19,60,70
2020-05-30,"Alabama",1,17359,618,328,8,61,71
2020-05-31,"Alabama",1,17952,630,593,12,62,72
2020-06-01,"Alabama",1,18534,646,582,16,63,73
2020-06-02,"Alabama",1,18771,653,237,7,64,74
2020-06-03,"Alabama",1,18851,653,80,0,65,75
2020-06-04,"Alabama",1,19072,653,221,0,66,76
2020-06-05,"Alabama",1,19387,676,315,23,67,77
2020-06-06,"Alabama",1,20043,689,656,13,68,78
2020-06-07,"Alabama",1,20500,692,457,3,69,79
2020-06-08,"Alabama",1,20925,718,425,26,70,80
2020-06-09,"Alabama",1,21422,729,497,11,71,81
2020-06-10,"Alabama",1,21989,744,567,15,72,82
2020-06-11,"Alabama",1,22845,755,856,11,73,83
2020-06-12,"Alabama",1,23710,769,865,14,74,84
2020-06-13,"Alabama",1,24601,773,891,4,75,85
2020-06-14,"Alabama",1,25615,773,1014,0,76,86
2020-06-15,"Alabama",1,26272,774,657,1,77,87
2020-06-16,"Alabama",1,26912,785,640,11,78,88
2020-06-17,"Alabama",1,27312,790,400,5,79,89
2020-06-18,"Alabama",1,28206,810,894,20,80,90
2020-06-19,"Alabama",1,29002,822,796,12,81,91
2020-06-20,"Alabama",1,29549,838,547,16,82,92
2020-06-21,"Alabama",1,30021,839,472,1,83,93
2020-06-22,"Alabama",1,30454,841,433,2,84,94
2020-06-23,"Alabama",1,31097,864,643,23,85,95
2020-06-24,"Alabama",1,32064,891,967,27,86,96
2020-06-25,"Alabama",1,33206,896,1142,5,87,97
2020-06-26,"Alabama",1,34183,907,977,11,88,98
2020-06-27,"Alabama",1,35083,919,900,12,89,99
2020-06-28,"Alabama",1,35441,919,358,0,90,100
2020-06-29,"Alabama",1,37175,929,1734,10,91,101
2020-06-30,"Alabama",1,38045,950,870,21,92,102
2020-07-01,"Alabama",1,38962,972,917,22,93,103
2020-07-02,"Alabama",1,40111,985,1149,13,94,104
2020-07-03,"Alabama",1,41865,1006,1754,21,95,105
2020-07-04,"Alabama",1,42862,1007,997,1,96,106
2020-07-05,"Alabama",1,43953,1007,1091,0,97,107
2020-07-06,"Alabama",1,44878,1007,925,0,98,108
2020-07-07,"Alabama",1,45785,1033,907,26,99,109
