"","country","date","update","cases","new_cases","deaths","new_deaths","recovered","new_recovered","active_cases","per100k","newper100k","activeper100k","deathsper100k","newdeathsper100k","days_since_case100","days_since_death10"
"113","Afghanistan",2020-10-10,263,39703,10,1473,1,33064,6,5166,102,0,13.3,3.8,0,197,187
"373","Albania",2020-10-10,263,15231,165,416,3,9406,102,5409,529.2,5.7,187.9,14.5,0.1,201,196
"489","Algeria",2020-10-10,263,52940,136,1795,6,37170,103,13975,120.7,0.3,31.9,4.1,0,203,204
"688","Andorra",2020-10-10,263,2696,0,55,0,1814,0,827,3501.3,0,1074,71.4,0,202,193
"911","Angola",2020-10-10,263,6246,215,218,6,2716,31,3312,19,0.7,10.1,0.7,0,122,110
"1300","Antigua and Barbuda",2020-10-10,263,111,0,3,0,97,0,11,113.3,0,11.2,3.1,0,13,0
"1484","Argentina",2020-10-10,263,883882,12414,23581,356,709464,12323,150837,1955.7,27.5,333.7,52.2,0.8,204,197
"1562","Armenia",2020-10-10,263,55736,649,1016,6,45771,243,8949,1881.1,21.9,302,34.3,0.2,205,184
"1863","Australia",2020-10-10,263,27263,19,898,1,24987,0,1378,106.9,0.1,5.4,3.5,0,214,198
"2098","Austria",2020-10-10,263,54423,1235,852,10,42829,790,10742,604.3,13.7,119.3,9.5,0.1,216,202
"2348","Azerbaijan",2020-10-10,263,41752,233,608,3,39235,106,1909,411.8,2.3,18.8,6,0,198,183
"2553","Bahrain",2020-10-10,263,75287,427,273,2,70808,402,4206,4423.4,25.1,247.1,16,0.1,214,150
"2788","Bangladesh",2020-10-10,263,377073,1203,5500,23,291365,1453,80208,229,0.7,48.7,3.3,0,187,187
"3031","Barbados",2020-10-10,263,206,2,7,0,183,1,16,71.8,0.7,5.6,2.4,0,91,0
"3269","Belarus",2020-10-10,263,82471,0,885,0,76543,0,5043,872.8,0,53.4,9.4,0,194,187
"3544","Belgium",2020-10-10,263,156931,7950,10175,24,20202,130,126554,1354,68.6,1091.9,87.8,0.2,218,207
"3789","Belize",2020-10-10,263,2427,0,35,0,1487,0,905,609.8,0,227.4,8.8,0,65,47
"3903","Benin",2020-10-10,263,2411,0,41,0,1973,0,397,19.9,0,3.3,0.3,0,156,114
"4026","Bhutan",2020-10-10,263,306,0,0,0,287,5,19,39.6,0,2.5,0,0,72,0
"4405","Bolivia",2020-10-10,263,138463,237,8292,30,100786,439,29385,1186.2,2,251.7,71,0.3,193,189
"4525","Bosnia and Herzegovina",2020-10-10,263,30345,428,927,1,23370,129,6048,924.9,13,184.3,28.3,0,202,194
"4757","Botswana",2020-10-10,263,3219,0,18,0,834,0,2367,136.9,0,100.6,0.8,0,103,30
"4987","Brazil",2020-10-10,263,5055888,0,149639,0,4502854,0,403395,2378.6,0,189.8,70.4,0,211,204
"5141","Brunei",2020-10-10,263,146,0,3,0,143,0,0,33.4,0,0,0.7,0,200,0
"5389","Bulgaria",2020-10-10,263,24319,448,891,4,15818,105,7610,350,6.4,109.5,12.8,0.1,204,192
"5532","Burkina Faso",2020-10-10,263,2271,17,61,1,1542,26,668,10.9,0.1,3.2,0.3,0,200,196
"5843","Burma",2020-10-10,263,26064,2158,598,32,7050,312,18416,47.9,4,33.8,1.1,0.1,174,32
"6122","Burundi",2020-10-10,263,517,2,1,0,472,0,44,4.3,0,0.4,0,0,116,0
"6304","Cambodia",2020-10-10,263,283,0,0,0,277,0,6,1.7,0,0,0,0,195,0
"6558","Cameroon",2020-10-10,263,21203,0,423,0,20117,0,663,79.9,0,2.5,1.6,0,195,185
"6617","Canada",2020-10-10,263,182767,2142,9661,23,153857,1811,19249,484.3,5.7,51,25.6,0.1,213,204
"6905","Cape Verde",2020-10-10,263,6913,104,74,1,5970,38,869,1243.3,18.7,156.3,13.3,0.2,167,106
"7144","Central African Republic",2020-10-10,263,4854,1,62,0,1924,10,2868,100.5,0,59.4,1.3,0,155,116
"7319","Chad",2020-10-10,263,1291,17,92,2,1103,1,96,7.9,0.1,0.6,0.6,0,161,161
"7496","Chile",2020-10-10,263,479595,1826,13272,52,452054,1757,14269,2508.9,9.6,74.6,69.4,0.3,209,193
"7820","Colombia",2020-10-10,263,902747,8447,27660,165,783131,2584,91956,1774.2,16.6,180.7,54.4,0.3,206,195
"8029","Comoros",2020-10-10,263,495,0,7,0,475,0,13,56.9,0,1.5,0.8,0,133,0
"8217","Costa Rica",2020-10-10,263,87439,1386,1076,21,52669,342,33694,1716.5,27.2,661.4,21.1,0.4,203,147
"8462","Cote d'Ivoire",2020-10-10,263,20128,92,120,0,19752,56,256,76.3,0.3,1,0.5,0,197,172
"8717","Croatia",2020-10-10,263,19932,486,317,4,16953,258,2662,485.6,11.8,64.8,7.7,0.1,205,189
"8877","Cuba",2020-10-10,263,5948,5,123,0,5440,42,385,52.5,0,3.4,1.1,0,196,186
"9130","Cyprus",2020-10-10,263,1986,35,25,0,1444,75,517,164.5,2.9,42.8,2.1,0,201,187
"9202","Czech Republic",2020-10-10,263,114005,4631,948,43,54909,1736,58148,1064.6,43.2,543,8.9,0.4,211,196
"9557","Democratic Republic of the Congo",2020-10-10,263,10841,6,276,0,10242,0,323,12.1,0,0.4,0.3,0,192,191
"9790","Denmark",2020-10-10,263,32575,444,667,2,26462,487,5446,562.4,7.7,94,11.5,0,214,203
"10019","Diamond Princess Cruise Ship",2020-10-10,263,712,0,13,0,659,8,40,NA,NA,NA,NA,NA,243,200
"10312","Djibouti",2020-10-10,263,5423,0,61,0,5355,0,7,548.9,0,0.7,6.2,0,185,142
"10435","Dominica",2020-10-10,263,32,0,0,0,24,0,8,44.4,0,11.1,0,0,0,0
"10623","Dominican Republic",2020-10-10,263,118014,557,2167,2,93627,566,22220,1087.9,5.1,204.8,20,0,203,199
"10923","Ecuador",2020-10-10,263,146828,980,12188,13,120511,0,14129,832.2,5.6,80.1,69.1,0.1,206,202
"10995","Egypt",2020-10-10,263,104387,125,6040,11,97643,51,704,102,0.1,0.7,5.9,0,210,203
"11280","El Salvador",2020-10-10,263,29951,0,887,6,24995,0,4069,461.8,0,62.7,13.7,0.1,184,163
"11433","Equatorial Guinea",2020-10-10,263,5063,0,83,0,4894,0,86,360.9,0,6.1,5.9,0,169,142
"11822","Eritrea",2020-10-10,263,414,9,0,0,372,8,42,11.7,0.3,1.2,0,0,117,0
"11915","Estonia",2020-10-10,263,3846,37,68,0,2946,40,832,289.8,2.8,62.7,5.1,0,210,191
"12236","Eswatini",2020-10-10,263,5660,16,113,0,5282,28,265,487.9,1.4,22.8,9.7,0,163,104
"12278","Ethiopia",2020-10-10,263,83429,767,1277,6,37683,581,44469,72.6,0.7,38.7,1.1,0,175,132
"12624","Fiji",2020-10-10,263,32,0,2,0,28,0,2,3.6,0,0.2,0.2,0,0,0
